"LON","LAT","COD_SPEFAO","QT_SPECIE"
11.3388888888889,37.8333333333333,"ARA",24
11.3388888888889,37.8166666666667,"ARA",12
11.3558333333333,37.6666666666667,"ARA",12
11.3558333333333,37.6833333333333,"ARA",247
11.3558333333333,37.7,"ARA",328
11.3558333333333,37.7166666666667,"ARA",212
11.3558333333333,37.7333333333333,"ARA",69
11.3558333333333,37.7472222222222,"ARA",13
11.3558333333333,37.75,"ARA",103
11.3558333333333,37.7666666666667,"ARA",173
11.3558333333333,37.7833333333333,"ARA",28
11.3558333333333,37.8,"ARA",199
11.3558333333333,37.8166666666667,"ARA",451
11.3558333333333,37.8333333333333,"ARA",211
11.3558333333333,37.85,"ARA",134
11.3558333333333,37.9166666666667,"ARA",4
11.3558333333333,37.9666666666667,"ARA",10
11.3558333333333,37.8233333333333,"ARA",51
11.3558333333333,37.6930555555556,"ARA",48
11.3558333333333,37.8894444444444,"ARA",55
11.3558333333333,37.8497222222222,"ARA",5
11.3558333333333,37.8611111111111,"ARA",18
11.3727777777778,37.8333333333333,"ARA",82
11.3727777777778,37.85,"ARA",42
11.3727777777778,37.8666666666667,"ARA",84
11.3727777777778,37.8833333333333,"ARA",436
11.3727777777778,37.9,"ARA",236
11.3727777777778,37.9166666666667,"ARA",401
11.3727777777778,37.9333333333333,"ARA",129
11.3727777777778,37.9388888888889,"ARA",46
11.3727777777778,37.95,"ARA",183
11.3727777777778,37.9833333333333,"ARA",52
11.3727777777778,37.6888888888889,"ARA",8
11.3727777777778,37.8222222222222,"ARA",8
11.3727777777778,37.9166666666667,"ARA",30
11.3727777777778,37.9244444444444,"ARA",26
11.3727777777778,37.9,"ARA",35
11.3727777777778,37.9111111111111,"ARA",49
11.3727777777778,37.9416666666667,"ARA",39
11.3727777777778,37.9286111111111,"ARA",47
11.3727777777778,37.8777777777778,"ARA",12
11.3897222222222,37.6833333333333,"ARA",40
11.3897222222222,37.7,"ARA",10
11.3897222222222,37.8333333333333,"ARA",50
11.3897222222222,37.85,"ARA",1159
11.3897222222222,37.8666666666667,"ARA",346
11.3897222222222,37.8805555555556,"ARA",71
11.3897222222222,37.8833333333333,"ARA",180
11.3897222222222,37.8972222222222,"ARA",36
11.3897222222222,37.9,"ARA",250
11.3897222222222,37.9166666666667,"ARA",109
