"year";"region";"species";"fishing_technique";"totwghtlandg"
2018;"Eastern Mediterranean";"DPS";"PS";0.005
2019;"Eastern Mediterranean";"DPS";"PS";0.144
2020;"Eastern Mediterranean";"DPS";"PS";0.099
2021;"Eastern Mediterranean";"DPS";"PS";0.006
2013;"Western Mediterranean";"DPS";"PS";0.147
2016;"Adriatic Sea";"HKE";"PS";0.106
2017;"Adriatic Sea";"HKE";"PS";0.102
2018;"Adriatic Sea";"HKE";"PS";0.118
2019;"Adriatic Sea";"HKE";"PS";0.03
2020;"Adriatic Sea";"HKE";"PS";0.188
2021;"Adriatic Sea";"HKE";"PS";0.091
2014;"Central Mediterranean";"HKE";"PS";1.16099
2015;"Central Mediterranean";"HKE";"PS";0.4136
2016;"Central Mediterranean";"HKE";"PS";0.215
2017;"Central Mediterranean";"HKE";"PS";0.539
2018;"Central Mediterranean";"HKE";"PS";0.291
2019;"Central Mediterranean";"HKE";"PS";2.9938995
2020;"Central Mediterranean";"HKE";"PS";4.41089805
2021;"Central Mediterranean";"HKE";"PS";3.58069878
2016;"Eastern Mediterranean";"HKE";"PS";0.126
2017;"Eastern Mediterranean";"HKE";"PS";0.335
2018;"Eastern Mediterranean";"HKE";"PS";0.12
2019;"Eastern Mediterranean";"HKE";"PS";0.063
2020;"Eastern Mediterranean";"HKE";"PS";0.198
2021;"Eastern Mediterranean";"HKE";"PS";0.08
2013;"Western Mediterranean";"HKE";"PS";0.083
2014;"Western Mediterranean";"HKE";"PS";0.002
2015;"Western Mediterranean";"HKE";"PS";0.006
2017;"Western Mediterranean";"HKE";"PS";0.006
2018;"Western Mediterranean";"HKE";"PS";0.037
2019;"Western Mediterranean";"HKE";"PS";0.07
2020;"Western Mediterranean";"HKE";"PS";0.004
2016;"Adriatic Sea";"PIL";"PS";390.679
2017;"Adriatic Sea";"PIL";"PS";621.022
2018;"Adriatic Sea";"PIL";"PS";1335.589
2019;"Adriatic Sea";"PIL";"PS";1079.958
2020;"Adriatic Sea";"PIL";"PS";912.912
2021;"Adriatic Sea";"PIL";"PS";552.13
2014;"Central Mediterranean";"PIL";"PS";60949.17194
2015;"Central Mediterranean";"PIL";"PS";51705.40505
2016;"Central Mediterranean";"PIL";"PS";54367.58306984
2017;"Central Mediterranean";"PIL";"PS";48999.88297164
2018;"Central Mediterranean";"PIL";"PS";46205.45530112
2019;"Central Mediterranean";"PIL";"PS";45136.26071223
2020;"Central Mediterranean";"PIL";"PS";50081.2359687799
2021;"Central Mediterranean";"PIL";"PS";41503.17037343
2016;"Eastern Mediterranean";"PIL";"PS";10616.901
2017;"Eastern Mediterranean";"PIL";"PS";11177.714
2018;"Eastern Mediterranean";"PIL";"PS";10152.019
2019;"Eastern Mediterranean";"PIL";"PS";10192.811
2020;"Eastern Mediterranean";"PIL";"PS";9142.687
2021;"Eastern Mediterranean";"PIL";"PS";6539.846
2013;"Western Mediterranean";"PIL";"PS";11165.078
2014;"Western Mediterranean";"PIL";"PS";13020.186
2015;"Western Mediterranean";"PIL";"PS";9465.777
2016;"Western Mediterranean";"PIL";"PS";10934.127
2017;"Western Mediterranean";"PIL";"PS";8851.3322
2018;"Western Mediterranean";"PIL";"PS";7766.3875
2019;"Western Mediterranean";"PIL";"PS";8312.9935
2020;"Western Mediterranean";"PIL";"PS";3572.1491681088
2021;"Western Mediterranean";"PIL";"PS";7347.975
